Episode,Timestep,Reward
1714,354000,531.8598
1721,357000,515.1091
1727,360000,666.5466
1734,363000,599.3493
1743,366000,467.7938
1749,369000,684.1972
1758,372000,505.4646
1764,375000,684.389
1771,378000,611.4375
1777,381000,703.2654
1783,384000,708.9337
1791,387000,440.2415
1800,390000,453.6912
1808,393000,441.0894
1815,396000,575.098
1827,399000,344.0294
1834,402000,610.1111
1841,405000,643.1092
1851,408000,342.8536
1858,411000,604.8999
1865,414000,630.6811
1871,417000,710.299
1879,420000,568.0631
1886,423000,536.0412
1893,426000,641.9609
1900,429000,647.2991
1911,432000,361.333
1919,435000,538.5151
1927,438000,565.2464
1935,441000,538.4099
1941,444000,631.989
1950,447000,522.5604
1957,450000,521.7929
1963,453000,733.4668
1972,456000,526.0838
1980,459000,558.5788
1987,462000,560.6545
1994,465000,643.2221
2002,468000,528.0807
2012,471000,369.0597
2019,474000,652.8983
2025,477000,718.7058
2032,480000,637.8494
2039,483000,559.9006
2047,486000,512.1696
2059,489000,411.7037
2066,492000,622.0955
2073,495000,553.3971
2082,498000,512.7958
2088,501000,731.7435
2097,504000,505.7777
2104,507000,551.4522
2112,510000,570.1303
2119,513000,652.7608
2125,516000,687.6825
2135,519000,399.1747
2142,522000,630.1781
2149,525000,642.7439
2158,528000,459.7624
2165,531000,567.3569
2174,534000,515.7581
2182,537000,474.966
2192,540000,480.5573
2200,543000,570.1527
2207,546000,624.6989
2213,549000,727.4737
2219,552000,592.9263
2231,555000,350.4488
2237,558000,661.114
2247,561000,474.0467
2255,564000,473.8521
2263,567000,560.0548
2269,570000,711.4276
2276,573000,635.1586
2283,576000,662.5795
2292,579000,483.6554
2298,582000,608.6093
2306,585000,541.5698
2314,588000,577.7617
2320,591000,657.419
2327,594000,611.9699
2335,597000,571.6669
2345,600000,473.4484
2351,603000,618.2723
2360,606000,508.0026
2367,609000,668.1671
2374,612000,657.8789
2383,615000,450.9487
2389,618000,758.4134
2395,621000,778.0757
2402,624000,608.2129
2410,627000,567.7993
2416,630000,669.021
2424,633000,564.0414
2432,636000,582.9649
2438,639000,762.4447
2444,642000,648.6069
2452,645000,597.147
2461,648000,487.6355
2467,651000,725.9848
2474,654000,575.9307
2483,657000,488.6537
2490,660000,570.8185
2496,663000,772.4646
2503,666000,631.7664
2509,669000,747.1151
2516,672000,616.393
2525,675000,477.7547
2532,678000,666.3773
2543,681000,353.6123
2549,684000,724.4601
2555,687000,603.5337
2563,690000,539.7122
2572,693000,509.7007
2579,696000,556.0939
2586,699000,618.3709
2593,702000,644.7299
2600,705000,666.6356
2607,708000,522.7409
2615,711000,609.1676
2626,714000,392.7812
2632,717000,641.0813
2640,720000,531.3588
2648,723000,594.741
2655,726000,628.9168
2661,729000,767.9415
2671,732000,405.8916
2678,735000,662.0887
2685,738000,573.261
2691,741000,628.3518
2698,744000,639.6759
2705,747000,611.8034
2716,750000,383.269
2724,753000,552.1101
2732,756000,529.2572
2738,759000,624.9372
2748,762000,446.2829
2756,765000,475.2274
2764,768000,531.7291
2775,771000,430.5665
2781,774000,734.0836
2789,777000,471.6778
2800,780000,389.5266
2807,783000,647.51
2815,786000,586.9642
2823,789000,462.4069
2829,792000,738.6034
2836,795000,604.1554
2843,798000,609.4527
2850,801000,643.4777
2856,804000,736.0072
2865,807000,495.3129
2871,810000,735.597
2880,813000,414.9903
2887,816000,633.8962
2899,819000,392.3666
2906,822000,518.0162
2914,825000,591.9872
2922,828000,607.6324
2929,831000,640.9603
2935,834000,627.7712
2943,837000,586.8237
2951,840000,607.2289
2959,843000,565.2218
2967,846000,502.5003
2975,849000,575.7633
2982,852000,647.381
2988,855000,811.3356
2997,858000,526.9179
3004,861000,667.0981
3010,864000,717.2135
3016,867000,771.9096
3023,870000,547.3034
3030,873000,636.8224
3036,876000,761.0329
3046,879000,461.0556
3053,882000,698.7501
